Number,Assigned space,Identifier,24-8-2023,25-8-2023,26-8-2023,27-8-2023,28-8-2023,29-8-2023,30-8-2023,31-8-2023,1-9-2023,2-9-2023,3-9-2023,4-9-2023,5-9-2023,6-9-2023,7-9-2023,8-9-2023,9-9-2023,10-9-2023,11-9-2023,12-9-2023,13-9-2023,14-9-2023,15-9-2023,16-9-2023,17-9-2023,18-9-2023,19-9-2023,20-9-2023,21-9-2023,22-9-2023,23-9-2023,24-9-2023,25-9-2023,26-9-2023,27-9-2023,28-9-2023,29-9-2023,30-9-2023,1-10-2023,2-10-2023,3-10-2023,4-10-2023,5-10-2023,6-10-2023,7-10-2023,8-10-2023,9-10-2023,10-10-2023,11-10-2023,12-10-2023,13-10-2023,14-10-2023,15-10-2023,16-10-2023,17-10-2023,18-10-2023,19-10-2023,20-10-2023,21-10-2023,22-10-2023,23-10-2023,24-10-2023,25-10-2023,26-10-2023,27-10-2023,28-10-2023,29-10-2023,30-10-2023,31-10-2023,1-11-2023,2-11-2023,3-11-2023,4-11-2023,5-11-2023,6-11-2023,7-11-2023,8-11-2023,9-11-2023,10-11-2023,11-11-2023,12-11-2023,13-11-2023,14-11-2023,15-11-2023,16-11-2023,17-11-2023,18-11-2023,19-11-2023,20-11-2023,21-11-2023,22-11-2023,23-11-2023,24-11-2023,25-11-2023,26-11-2023,27-11-2023,28-11-2023,29-11-2023,30-11-2023,1-12-2023,2-12-2023,3-12-2023,4-12-2023,5-12-2023,6-12-2023,7-12-2023,8-12-2023,9-12-2023,10-12-2023,11-12-2023,12-12-2023,13-12-2023,14-12-2023,15-12-2023,16-12-2023,17-12-2023,18-12-2023,19-12-2023,20-12-2023,21-12-2023,22-12-2023,23-12-2023
382035,Comfort Twin - 0527,74f376cd-e0e4-4e63-a8dc-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370656,Comfort Twin - 0611,87968bbd-6634-4421-80e4-b05a00f3ae7c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382034,Comfort Twin - 0614,a760c2c4-ebd7-454c-b81e-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383554,Comfort Twin - 0615,4974c6a6-2bad-4105-a27b-b0950130ff88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382032,Comfort Twin - 0617,47c6a7ad-4d73-4351-92e0-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382031,Comfort Twin - 0708,d345083c-b634-4016-8fb8-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382030,Comfort Twin - 0710,885d5e22-3a30-4450-a667-b08c00616f96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346684,Comfort Twin - 0712,72df80c2-6db1-47a4-8510-afee00fcdb59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,111.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381494,Comfort Twin - 0717,6379d7c7-3df2-459d-b43d-b08900eed9d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361803,Comfort Triple - 0537,b608f47b-8af9-4b91-be87-b0300027a740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,200.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
