Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
376616,Checked out,2023-10-01 12:53:17.458,2023-10-02 08:52:27.312,1,1,Comfort Double,Comfort Double,1,1,0
376617,Checked out,2023-10-01 16:06:14.393,2023-10-02 08:47:21.967,1,1,Comfort Double,Comfort Double,1,1,0
376604,Checked out,2023-10-01 15:00:50.043,2023-10-03 10:47:36.039,2,2,Comfort Double,Comfort Double,1,1,0
376602,Checked out,2023-10-01 14:57:58.082,2023-10-02 09:07:06.080,1,1,Comfort Double,Comfort Double,1,1,0
376589,Checked out,2023-10-01 16:04:37.311,2023-10-02 09:26:04.541,1,1,Comfort Twin,Comfort Double,1,1,0
376593,Checked out,2023-10-01 16:08:24.515,2023-10-02 09:04:12.163,1,1,Comfort Twin,Comfort Double,1,1,0
372707,Checked out,2023-10-01 12:33:28.225,2023-10-06 08:45:22.722,5,5,Comfort Double,Comfort Double,1,1,0
376612,Checked out,2023-10-01 12:54:04.999,2023-10-03 11:00:00.000,2,2,Comfort Double,Comfort Double,1,1,0
381424,Checked out,2023-10-01 16:59:15.565,2023-10-03 07:52:25.230,2,2,Comfort Twin,Comfort Double,1,1,0
382108,Checked out,2023-10-01 14:19:39.847,2023-10-03 11:00:00.000,2,4,Comfort Double,Comfort Double,2,2,0
361249,Checked out,2023-10-01 19:53:17.682,2023-10-04 07:25:41.275,3,6,Comfort Double,Comfort Double,2,2,0
367670,Checked out,2023-10-01 20:42:44.047,2023-10-05 09:36:52.837,4,4,Comfort Double,Comfort Double,1,1,0
367259,Checked out,2023-10-01 18:55:19.305,2023-10-03 11:00:00.000,2,4,Comfort Double,Comfort Double,2,2,0
376615,Checked out,2023-10-01 16:02:35.488,2023-10-02 08:52:27.312,1,1,Comfort Double,Comfort Double,1,1,0
376598,Checked out,2023-10-01 12:54:49.849,2023-10-02 09:23:04.386,1,1,Comfort Double,Comfort Double,1,1,0
